556,398
636,398
718,398
804,398
882,398
964,398
1312,398
1394,398
1476,398
1544,398
1836,398
1912,398
1994,398
2066,458
2270,488
2328,540
2360,758
2350,1322
2350,1414
2350,1506
2350,1602
2350,1602
2350,1700
2350,1800
2350,1902
2308,1980
2246,2044
2166,2090
2068,2098
1980,2098
1886,2098
1792,2098
1702,2098
1608,2098
1512,2098
1420,2098
1326,2098
1244,2088
1160,2066
1086,2026
1030,1970
978,1908
920,1858
856,1926
904,2002
982,2044
1236,2188
1286,2268
1314,2356
1326,2440
1326,2526
1326,2606
1326,2688
1410,2736
1500,2736
1584,2736
1672,2736
1764,2736
1850,2736
1944,2736
2042,2736
2140,2736
2240,2736
2322,2736
2414,2736
2500,2736
2590,2736
2672,2702
2732,2640
2764,2548
2764,2462
2764,2370
2764,2274
2764,2178
2764,2082
2764,1990
2764,1900
2764,1804
2764,1720
2764,1634
2764,1548
2764,1460
2764,1396
2698,1322
2622,1322
2538,1322
2446,1322
2588,936
2674,936
2756,936
2826,974
3038,998
3098,1060
3144,1284
3144,1370
3144,1458
3144,1542
3144,1800
3144,1886
3144,1974
3144,2054
3168,2320
3168,2414
3168,2498
3168,2842
3168,2918
3168,3002
3056,3220
2968,3220
2884,3220
2546,3220
2486,3220
2410,3220
2334,3220
2032,3220
1946,3220
1880,3220
1818,3220
1504,3220
1418,3220
1334,3220
1034,3116
972,3056
778,2862
722,2806
524,2598
472,2544
384,2256
384,2180
384,2106
384,2048
384,1756
384,1682
384,1616
384,1548
542,1432
620,1432
690,1432
758,1432
832,1432
902,1432
976,1432
1306,1514
1368,1570
1420,1620
1474,1670
1536,1670
1614,1670
1686,1670
1760,1670
1826,1670
1906,1670
1956,1600
1956,1518
1956,1432
1956,1346
1864,1346
1488,1328
1396,1328
382,1256
382,1170
382,1080
388,726
388,660
388,596
388,526
876,892
964,892
1060,892
1164,892
1272,892
1380,892
1474,892
1564,892
1656,892
1740,892
1832,892
1926,892
2010,892
